sample_id,Species Code,Collection Location,Collection_date,Project,M gene CT value,Hemagglutination titer,Hemolysis titer
JAH633,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH634,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH635,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH636,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,37.4,,
JAH637,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH638,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH639,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH640,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH641,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH642,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH643,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH644,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,29.9,,
JAH645,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH646,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,29.9,,
JAH647,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,33.2,,
JAH648,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH649,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH650,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,31.4,,
JAH651,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,37.4,,
JAH652,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,30.4,,
JAH653,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,34.3,,
JAH654,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,33.2,,
JAH655,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,36.4,,
JAH656,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,35.8,,
JAH657,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,33.8,,
JAH658,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH659,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH660,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH661,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH662,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH663,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH664,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH665,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH666,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH667,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH668,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH669,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH670,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH671,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH673,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH672,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH674,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH675,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH676,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH677,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH678,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH680,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH681,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH682,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH683,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH684,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH685,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH686,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH687,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH688,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH689,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH690,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH691,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH692,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH693,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH694,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH695,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,31.9,,
JAH696,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH697,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH698,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH699,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH700,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH701,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH702,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH703,LESC,"Chautauqua Wildlife Reserve, IL",03/19/2026; 2nd catch 1:25pm,MS_Flyway,N,,
JAH704,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH705,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,30.5,,
JAH706,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH707,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH708,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,25.7,,
JAH709,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH710,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,33,,
JAH711,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH712,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH713,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH714,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,36.4,,
JAH715,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH716,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH717,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH718,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH719,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,34.3,,
JAH720,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH721,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,33.8,,
JAH722,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH723,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH724,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH725,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,36.5,,
JAH726,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH727,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH728,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,31.7,,
JAH729,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,35.6,,
JAH730,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,34.3,,
JAH731,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH732,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH733,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,36.8,,
JAH734,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH735,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH736,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,29,,
JAH737,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,35.7,,
JAH738,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,34.2,,
JAH739,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH740,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH741,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH742,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH743,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH744,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH745,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH746,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH747,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH748,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH749,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH750,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH751,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH752,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH753,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH754,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH755,LESC,"Chautauqua Wildlife Reserve, IL",3/20/2026; 10:10am,MS_Flyway,,,
JAH756,LESC,"Chautauqua Wildlife Reserve, IL",,,,,
JAH757,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH758,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH759,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH760,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH761,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH762,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH763,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH765,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH766,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH767,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH768,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH769,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH770,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH771,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH772,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH773,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH774,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH775,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH776,REDH,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH777,REDH,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH778,REDH,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH779,REDH,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH780,REDH,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH781,REDH,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH782,REDH,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH783,REDH,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH784,REDH,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH785,CANV,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH786,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH787,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH788,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH789,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH790,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH791,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH792,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH793,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH794,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH795,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH796,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH797,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH798,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH799,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH800,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH801,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH802,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH803,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH804,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH805,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH806,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH807,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH808,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH809,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH810,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH811,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH812,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH813,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH814,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH815,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH816,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH817,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH818,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH819,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH820,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH821,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH822,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH823,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH824,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,,,,
JAH825,LESC,"Chautauqua Wildlife Reserve, IL",03/20/2026; 1:10pm,,,,
JAH826,LESC,"Chautauqua Wildlife Reserve, IL",03/21/2026; 10:25am,,,,
JAH827,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH828,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH829,RNDU,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH830,CANV,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH831,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH832,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH833,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH834,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH835,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH836,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH837,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH838,CANV,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH839,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
JAH840,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,,,,
