sample_id,Species Code,Collection Location,Collection_date,Project,M gene CT value,Hemagglutination titer,Hemolysis titer,rand,extraction_set
JAH595,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.07669116533361375,7
JAH575,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.09104399988427758,8
JAH545,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.09359498671256006,8
JAH838,CANV,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.0949624131899327,8
JAH747,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.09904182935133576,9
JAH740,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.10072158230468631,9
JAH847,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.10105849406681955,9
JAH532,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,35.8,NA,NA,0.10286464425735176,10
JAH746,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.10359964496456087,10
JAH774,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.10380668821744621,10
JAH844,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.10541774611920118,11
JAH602,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.11109646130353212,11
JAH527,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.11113542434759438,11
JAH848,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.11791384126991034,12
JAH791,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.11940477997995913,12
JAH538,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.13069569156505167,12
JAH800,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.13654019706882536,13
JAH851,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.13706747139804065,13
JAH730,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,34.3,NA,NA,0.13710608100518584,13
JAH576,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.14190690778195858,14
JAH563,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.14229429559782147,14
JAH810,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.14381704363040626,14
JAH772,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.147048324579373,15
JAH557,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.14709469093941152,15
JAH646,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,29.9,NA,NA,0.1523466168437153,15
JAH687,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.15288722282275558,16
JAH574,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.1542023008223623,16
JAH755,LESC,"Chautauqua Wildlife Reserve, IL",3/20/2026; 10:10am,MS_Flyway,NA,NA,NA,0.15663685137405992,16
JAH803,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.16307032923214138,17
JAH722,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.16421122499741614,17
JAH705,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,30.5,NA,NA,0.1680608105380088,17
JAH656,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,35.8,NA,NA,0.170645235106349,18
JAH691,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.17169849388301373,18
JAH657,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,33.8,NA,NA,0.17217174638062716,18
JAH537,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.17505265027284622,19
JAH619,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.1838284907862544,19
JAH591,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.18384952400811017,19
JAH836,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.1852964418940246,20
JAH543,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.18769111926667392,20
JAH811,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.192815946880728,20
JAH816,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.19337867991998792,21
JAH685,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.19774473668076098,21
JAH827,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.20887634856626391,21
JAH839,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.2104870791081339,22
JAH660,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.21625478961504996,22
JAH605,LESC,"Chautauqua Wildlife Reserve, IL",03/19/2026; 9:40am,MS_Flyway,N,NA,NA,0.2168927628081292,22
JAH607,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.2179906687233597,23
JAH571,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.21976763126440346,23
JAH523,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.22011888516135514,23
JAH615,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.22110293782316148,24
JAH700,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.22178793465718627,24
JAH732,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.22498532920144498,24
JAH793,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.22507335082627833,25
JAH736,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,29,NA,NA,0.22588643291965127,25
JAH798,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.2292448403313756,25
JAH593,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.23116178205236793,26
JAH767,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.23774940497241914,26
JAH648,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.23872602684423327,26
JAH594,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.2390999556519091,27
JAH845,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.2395946290344,27
JAH528,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.24361947271972895,27
JAH596,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.2457236780319363,28
JAH601,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.24644899414852262,28
JAH659,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.2529649285133928,28
JAH699,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.2572167464531958,29
JAH683,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.2608568570576608,29
JAH631,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,34.6,NA,NA,0.26501780608668923,29
JAH634,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.26503273146227,30
JAH617,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.2656866868492216,30
JAH702,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.26752143213525414,30
JAH846,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.27054487238638103,31
JAH638,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.2741666215006262,31
JAH837,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.28221841738559306,31
JAH668,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.2825283301062882,32
JAH781,REDH,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.2862853487022221,32
JAH655,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,36.4,NA,NA,0.288239280693233,32
JAH771,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.2958954554051161,33
JAH841,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.2963021753821522,33
JAH739,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.29774178261868656,33
JAH559,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.30122889997437596,34
JAH570,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.30772001086734235,34
JAH813,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.30811955430544913,34
JAH828,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.30878683272749186,35
JAH588,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.3117022020742297,35
JAH693,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.3118697467725724,35
JAH629,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.31244816491380334,36
JAH784,REDH,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.31427078042179346,36
JAH569,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.3198206170927733,36
JAH542,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.3203732424881309,37
JAH639,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.32148275640793145,37
JAH808,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.32334499317221344,37
JAH549,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.33282354031689465,38
JAH715,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.3363312059082091,38
JAH778,REDH,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.3383912837598473,38
JAH821,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.3428088016808033,39
JAH540,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.34351647226139903,39
JAH716,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.3473246314097196,39
JAH526,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.35179790924303234,40
JAH664,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.35188863845542073,40
JAH609,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.3539045718498528,40
JAH768,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.35398610262200236,41
JAH763,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.3547830975148827,41
JAH612,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.35544538078829646,41
JAH814,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.3633005435112864,42
JAH654,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,33.2,NA,NA,0.36409186478704214,42
JAH572,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.36948886583559215,42
JAH795,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.3702147984877229,43
JAH624,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.37223806022666395,43
JAH832,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.3727093944326043,43
JAH611,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.37471395661123097,44
JAH524,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.3798165377229452,44
JAH600,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.3879090298432857,44
JAH797,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.38831911515444517,45
JAH759,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.3895871115382761,45
JAH603,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.3899944352451712,45
JAH673,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.3952201346401125,46
JAH734,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.3958926883060485,46
JAH731,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.39658459462225437,46
JAH684,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.39715195330791175,47
JAH695,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,31.9,NA,NA,0.3989398246631026,47
JAH652,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,30.4,NA,NA,0.4025733422022313,47
JAH706,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.40439918101765215,48
JAH567,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.40451028174720705,48
JAH818,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.40660786628723145,48
JAH644,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,29.9,NA,NA,0.40683259326033294,49
JAH665,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.4089439979288727,49
JAH589,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.40947495261207223,49
JAH556,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.4106897765304893,50
JAH616,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,36.5,NA,NA,0.4127461186144501,50
JAH790,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.41473533445969224,50
JAH530,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.41764677967876196,51
JAH807,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.4189158969093114,51
JAH820,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.4218449501786381,51
JAH680,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.42842150875367224,52
JAH533,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.43489274149760604,52
JAH587,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.4394315362442285,52
JAH517,RNDU,"Anderson Lake, IL",3/18/2026; 9:20am,MS_Flyway,N,NA,NA,0.43983168760314584,53
JAH606,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.4447680020239204,53
JAH757,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.4524583942256868,53
JAH823,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.4551080509554595,54
JAH760,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.4646659418940544,54
JAH726,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.4664723768364638,54
JAH643,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.46653270232491195,55
JAH546,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.46677904156968,55
JAH707,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.4715762776322663,55
JAH522,CANV,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.47531657409854233,56
JAH674,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.47784537984989583,56
JAH754,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.48091082996688783,56
JAH633,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.48128980048932135,57
JAH658,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.48204260552302003,57
JAH552,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.48290239716880023,57
JAH819,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.4831676692701876,58
JAH794,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.48641176405362785,58
JAH550,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.48861303366720676,58
JAH758,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.49229332874529064,59
JAH785,CANV,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.4925665478222072,59
JAH599,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.4975272670853883,59
JAH608,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.502299563260749,60
JAH718,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.5028130456339568,60
JAH547,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.5115054599009454,60
JAH651,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,37.4,NA,NA,0.515029727248475,61
JAH802,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.5150718078948557,61
JAH713,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.516444894252345,61
JAH582,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.5211357257794589,62
JAH792,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.5260296601336449,62
JAH625,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.5298356858547777,62
JAH703,LESC,"Chautauqua Wildlife Reserve, IL",03/19/2026; 2nd catch 1:25pm,MS_Flyway,N,NA,NA,0.5310703988652676,63
JAH613,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.5336879454553127,63
JAH824,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.5337648736312985,63
JAH834,LESC,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.5376771830487996,64
JAH681,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.5420803672168404,64
JAH689,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.5468261565547436,64
JAH564,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.5492846560664475,65
JAH675,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.5602532636839896,65
JAH635,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.5645904347766191,65
JAH604,LESC,"Anderson Lake, IL",03/18/2026; 2:01pm,MS_Flyway,N,NA,NA,0.5719353139866143,66
JAH647,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,33.2,NA,NA,0.5728670582175255,66
JAH853,SNGO,"Chautauqua Wildlife Reserve, IL",03/21/2026; 12:30pm,NA,NA,NA,NA,0.5763018375728279,66
JAH714,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,36.4,NA,NA,0.5765190212987363,67
JAH627,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.581750099780038,67
JAH830,CANV,"Chautauqua Wildlife Reserve, IL",3/21/26,NA,NA,NA,NA,0.5849000934977084,67
JAH566,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.5854833531193435,68
JAH701,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.5930456516798586,68
JAH632,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.5943431940395385,68
JAH548,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.5999889592640102,69
JAH650,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,31.4,NA,NA,0.6013657259754837,69
JAH555,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.6087349823210388,69
JAH525,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.612771003274247,70
JAH780,REDH,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.6172352696303278,70
JAH623,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.6180178732611239,70
JAH678,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.6183512273710221,71
JAH578,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.6192564833909273,71
JAH641,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.6199933101888746,71
JAH804,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.6219022951554507,72
JAH799,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.6232975462917238,72
JAH519,RNDU,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.6292211315594614,72
JAH618,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,37.9,NA,NA,0.6299730534665287,73
JAH753,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.630131852813065,73
JAH692,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.6330553598236293,73
JAH787,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.6414623539894819,74
JAH788,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.6439229149837047,74
JAH568,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.6478934793267399,74
JAH728,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,31.7,NA,NA,0.6488181243184954,75
JAH610,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.64998515881598,75
JAH539,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.6531019250396639,75
JAH541,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.6567581279668957,76
JAH645,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.6592303242068738,76
JAH583,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.6598384496755898,76
JAH690,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.6623176420107484,77
JAH529,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.6680555874481797,77
JAH622,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.668284649727866,77
JAH806,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.6687715174630284,78
JAH738,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,34.2,NA,NA,0.670282039558515,78
JAH580,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,36.7,NA,NA,0.6729990926105529,78
JAH711,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.6741868425160646,79
