sample_id,Species Code,Collection Location,Collection_date,Project,M gene CT value,Hemagglutination titer,Hemolysis titer,...9,...10,...11,...12,rand,extraction_set
JAH257,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.4777959710918367,12
JAH208,CANV,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.5281054880470037,12
JAH228,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.5440660247113556,13
JAH210,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.5514350144658238,13
JAH279,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.5609479837585241,13
JAH215,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.5726334019564092,14
JAH229,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.5941420204471797,14
JAH224,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.6405068137682974,14
JAH226,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.6557057991158217,15
JAH286,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.6651151946280152,15
JAH214,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.6775706354528666,15
JAH254,CANV,Pool 19,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.6907052784226835,16
JAH223,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.6928034061565995,16
JAH227,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.7085304681677371,16
JAH283,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.7533078643027693,17
JAH258,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.7584595375228673,17
JAH201,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.7883051354438066,17
JAH297,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.7943423211108893,18
JAH255,CANV,Pool 19,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.7954674176871777,18
JAH276,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.7989248456433415,18
JAH293,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.8100643530488014,19
JAH296,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.8123895095195621,19
JAH290,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.8146400388795882,19
JAH271,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.8578277153428644,20
JAH203,CANV,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.8830174040049314,20
JAH222,CANV,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.8895393160637468,20
JAH209,AMCO,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.8924190443940461,21
JAH284,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.8950453591533005,21
JAH217,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.8998249704018235,21
JAH253,CANV,Pool 19,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.9022990451194346,22
JAH204,CANV,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.9404672842938453,22
JAH221,CANV,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.9545036491472274,22
JAH212,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.9568333453498781,23
JAH251,CANV,Pool 19,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.9630242325365543,23
JAH225,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.9942697766236961,23
