sample_id,Species Code,Collection Location,Collection_date,Project,M gene CT value,Hemagglutination titer,Hemolysis titer,,,,
JAH253,CANV,Pool 19,2025-03-18,MS_Flyway,,,,,,,
JAH254,CANV,Pool 19,2025-03-18,MS_Flyway,,,,,,,
JAH255,CANV,Pool 19,2025-03-18,MS_Flyway,,,,,,,
JAH256,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH257,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH258,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH259,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH260,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH261,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH262,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH263,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH264,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH265,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH266,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH267,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH268,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH269,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH270,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH271,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH272,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH273,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH276,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH278,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH279,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH280,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH282,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH283,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH284,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH285,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH286,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH287,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH288,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH289,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH290,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH291,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH293,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH296,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH297,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
